EF564,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
528,3,322.64,0,0,322.64,0,0,1
529,5,474.461,0,0,474.461,0,0,1
532,1,114.813,0,25.514,89.299,0,0.2222222222222222,0.7777777777777778
533,3,406.84800000000007,0,0,406.84800000000007,0,0,1
601,8,797.525,0,0,797.525,0,0,1
602,6,742.692,0,0,742.692,0,0,1
603,1,113.503,0,0,113.503,0,0,1
605,7,700.216,0,20.55688888888889,679.6591111111111,0,0.02935792511009301,0.970642074889907
606,3,414.834,0,0,414.834,0,0,1
607,9,1025.334,0,24.924666666666667,1000.4093333333333,0,0.024308826847316743,0.9756911731526832
608,2,234.2,0,26.47533333333333,207.72466666666668,0,0.11304582977512098,0.8869541702248791
609,2,186.274,0,22.022444444444442,164.25155555555557,0,0.11822607795207297,0.881773922047927
610,1,106.398,0,0,106.398,0,0,1
701,8,936.208,0,45.73288888888889,890.4751111111111,0,0.048849068677995586,0.9511509313220045
702,1,179.157,0,0,179.157,0,0,1
703,3,290.22,0,0,290.22,0,0,1
704,8,858.3109999999999,0,23.99311111111111,834.3178888888889,0,0.027953866501898624,0.9720461334981014
705,1,116.039,0,0,116.039,0,0,1
801,4,504.596,0,19.92533333333333,484.6706666666667,0,0.03948769576717479,0.9605123042328253
802,14,1383.621,0,112.51422222222222,1271.1067777777778,0,0.08131867196452078,0.9186813280354792
803,1,138.85,0,0,138.85,0,0,1
804,1,98.116,0,0,98.116,0,0,1
805,1,136.389,0,0,136.389,0,0,1
806,1,70.767,0,0,70.767,0,0,1
807,7,491.031,0,13.372444444444444,477.65855555555555,0,0.02723340164764433,0.9727665983523557
808,8,853.738,0,0,853.738,0,0,1
809,3,232.65200000000002,0,104.07877777777779,128.57322222222223,0,0.44735819067868654,0.5526418093213135
810,2,147.446,0,0,147.446,0,0,1
811,6,792.331,0,56.117111111111114,736.213888888889,0,0.07082533828805274,0.9291746617119473
813,5,510.284,0,0,510.284,0,0,1
902,8,924.927,0,0,924.927,0,0,1
903,7,719.374,0,40.63355555555555,678.7404444444445,0,0.05648460405235045,0.9435153959476495
904,1,108.741,0,0,108.741,0,0,1
906,5,1126.665,0,38.659333333333336,1088.0056666666667,0,0.03431306851045638,0.9656869314895437
907,1,121.587,0,0,121.587,0,0,1
908,1,105.486,0,0,105.486,0,0,1
909,1,102.418,0,22.759555555555554,79.65844444444446,0,0.22222222222222218,0.7777777777777778
910,1,126.746,0,0,126.746,0,0,1
911,3,361.407,0,26.770888888888887,334.63611111111106,0,0.07407407407407407,0.9259259259259258
912,2,269.412,0,29.93466666666666,239.47733333333332,0,0.1111111111111111,0.888888888888889
913,4,371.17600000000004,0,22.61,348.56600000000003,0,0.060914498782248847,0.9390855012177511
914,2,209.385,0,23.934888888888885,185.45011111111108,0,0.1143104276280005,0.8856895723719994
915,3,367.50300000000004,0,0,367.50300000000004,0,0,1
917,6,610.987,0,0,610.987,0,0,1
918,9,1001.146,0,257.355,743.7909999999999,0,0.25706040877154784,0.7429395912284522
919,2,226.668,0,0,226.668,0,0,1
920,2,231.13,0,0,231.13,0,0,1
921,5,430.65,0,0,430.65,0,0,1
922,1,117.128,0,0,117.128,0,0,1
1001,9,864.479,0,57.56733333333334,806.9116666666667,0,0.06659193957670843,0.9334080604232916
1101,1,124.672,0,0,124.672,0,0,1
1103,1,100,0,0,100,0,0,1
1104,1,105.884,0,0,105.884,0,0,1
1106,3,351.828,0,0,351.828,0,0,1
1109,2,213.558,0,0,213.558,0,0,1
1110,4,517.788,0,0,517.788,0,0,1
1111,1,170.682,0,0,170.682,0,0,1
1112,3,312.168,0,0,312.168,0,0,1
1201,2,206.548,0,0,206.548,0,0,1
1202,3,318.789,0,0,318.789,0,0,1
1204,4,399.993,0,23.942666666666668,376.05033333333336,0,0.05985771417666476,0.9401422858233353
1205,2,216.812,0,0,216.812,0,0,1
1302,2,167.914,0,0,167.914,0,0,1
1303,1,68.656,0,0,68.656,0,0,1
1304,3,282.89099999999996,0,0,282.89099999999996,0,0,1
1411,2,244.25,0,0,244.25,0,0,1
1412,5,509.457,0,17.06688888888889,492.3901111111111,0,0.033500155830401564,0.9664998441695984
1414,2,121.188,0,0,121.188,0,0,1
1415,1,119.193,0,0,119.193,0,0,1
1416,2,234.075,0,28.68911111111111,205.3858888888889,0,0.1225637556813462,0.8774362443186539
1417,1,107.896,0,0,107.896,0,0,1
1501,2,228.032,0,0,228.032,0,0,1
1503,1,87.148,0,0,87.148,0,0,1
1504,3,288.96,0,0,288.96,0,0,1
1505,1,137.587,0,30.574888888888886,107.01211111111111,0,0.2222222222222222,0.7777777777777778
1601,3,186.47899999999998,0,0,186.47899999999998,0,0,1
1602,5,640.743,0,17.397555555555556,623.3454444444444,0,0.027152158596435005,0.9728478414035648
1603,5,409.516,0,15.097999999999999,394.418,0,0.03686791236484044,0.9631320876351596
1604,3,285.176,0,18.226222222222223,266.94977777777774,0,0.06391218834061149,0.9360878116593884
