"","share_type","EF44_bin5","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"21","share_green","(35,40]",39769,4559375.731,0.00622845376970933,0.0063410076944962,0.0511865827633938,0.0519029649081897,0,0,0,0,0,0
"22","share_green","(40,45]",38635,4377130.895,0.005700607800122,0.00565743981248528,0.0490074548273174,0.0483688407763614,0,0,0,0,0,0
"23","share_green","(45,50]",47255,5126432.59,0.00633103399911036,0.00634545793964954,0.050579863763626,0.0507011342523153,0,0,0,0,0,0
"24","share_green","(50,55]",56437,6035917.034,0.00636887986311174,0.0063265461248778,0.050882595358146,0.0509615476253018,0,0,0,0,0,0
"25","share_green","(55,60]",49681,5248273.785,0.00697401486377257,0.00694301186674922,0.0538558656217327,0.0538160976411634,0,0,0,0,0,0
"26","share_green","(60,65]",27111,2836694.651,0.00690020089886555,0.00682213275147584,0.0536769024570492,0.0534937210411432,0,0,0,0,0,0
"27","share_green","(65,70]",6639,698043.931,0.00606575446477688,0.00576970188289056,0.0486465923275614,0.0472484390528888,0,0,0,0,0,0
"28","share_green","(70,75]",2306,241322.023,0.00517983811023707,0.00527335618565341,0.049390566407877,0.0501628476458588,0,0,0,0,0,0
"29","share_green","(75,80]",1082,111200.956,0.0035628932579025,0.00359106666276858,0.0354108174119122,0.0350326280255676,0,0,0,0,0,0
"30","share_green","(80,85]",280,29960.906,0.000857612781954887,0.000707806796454581,0.00715493994099683,0.00653722429974885,0,0,0,0,0,0
"31","share_green","(85,90]",43,4291.395,0,0,0,0,0,0,0,0,0,0
"32","share_green","(90,95]",15,1467.407,0,0,0,0,0,0,0,0,0,0
"33","share_neutral","[15,20]",14855,1652531.9,0.988370046103842,0.988093772090003,0.0555551596882099,0.0569960381211109,1,1,1,1,1,1
"34","share_neutral","(20,25]",27995,3216214.071,0.990361985218558,0.990330588242816,0.057222171345848,0.0576673334422392,1,1,1,1,1,1
"35","share_neutral","(25,30]",36441,4257278.939,0.988601005780353,0.988648336350266,0.0635659284524626,0.063319570824783,1,1,1,1,1,1
"36","share_neutral","(30,35]",39031,4524508.39,0.987273850388602,0.987189022946781,0.0684660764949795,0.0686906020203554,1,1,1,1,1,1
"37","share_neutral","(35,40]",39769,4559375.731,0.988447000287433,0.988214360998238,0.0634188419375995,0.0642237549561872,1,1,1,1,1,1
"38","share_neutral","(40,45]",38635,4377130.895,0.989135934414923,0.989172052509608,0.0605773026322106,0.0598791548803521,1,1,1,1,1,1
"39","share_neutral","(45,50]",47255,5126432.59,0.987843750696103,0.987851604145702,0.0647234777510764,0.0647857586614647,1,1,1,1,1,1
"40","share_neutral","(50,55]",56437,6035917.034,0.987575415595403,0.987681842853711,0.0655216595936802,0.0652384072272255,1,1,1,1,1,1
"41","share_neutral","(55,60]",49681,5248273.785,0.987252695775287,0.98723672148954,0.0671695353936954,0.0673088779616124,1,1,1,1,1,1
"42","share_neutral","(60,65]",27111,2836694.651,0.988042490265362,0.988136087427284,0.0650713546890355,0.0648235729929844,1,1,1,1,1,1
"43","share_neutral","(65,70]",6639,698043.931,0.991531176032046,0.991928889937283,0.0539563353841146,0.0522990053144944,1,1,1,1,1,1
"44","share_neutral","(70,75]",2306,241322.023,0.992431455917727,0.992386874850476,0.0560478204167924,0.0573720134316374,1,1,1,1,1,1
"45","share_neutral","(75,80]",1082,111200.956,0.994611728603791,0.994612946302886,0.0389592574625538,0.0386486588144128,1,1,1,1,1,1
"46","share_neutral","(80,85]",280,29960.906,0.996614985108876,0.996901199206422,0.0260642745178304,0.0230901307298317,1,1,1,1,1,1
"47","share_neutral","(85,90]",43,4291.395,0.998277347114556,0.998306481795417,0.0112961903950078,0.0112095641638744,1,1,1,1,1,1
"48","share_neutral","(90,95]",15,1467.407,1,1,0,0,1,1,1,1,1,1
