EF564,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
528,3,322.64,0,0,322.64,0,0,1
529,5,474.461,0,0,474.461,0,0,1
532,1,114.813,0,12.757,102.056,0,0.1111111111111111,0.8888888888888888
533,3,406.84800000000007,0,0,406.84800000000007,0,0,1
601,8,797.525,0,0,797.525,0,0,1
602,6,742.692,0,0,742.692,0,0,1
603,1,113.503,0,0,113.503,0,0,1
605,7,700.216,0,10.278444444444444,689.9375555555555,0,0.014678962555046506,0.9853210374449534
606,3,414.834,0,0,414.834,0,0,1
607,9,1025.334,0,12.462333333333333,1012.8716666666667,0,0.012154413423658372,0.9878455865763416
608,2,234.2,0,13.237666666666666,220.96233333333333,0,0.05652291488756049,0.9434770851124396
609,2,186.274,0,11.011222222222221,175.26277777777779,0,0.05911303897603649,0.9408869610239635
610,1,106.398,0,0,106.398,0,0,1
701,8,936.208,0,22.866444444444443,913.3415555555555,0,0.024424534338997793,0.9755754656610022
702,1,179.157,0,0,179.157,0,0,1
703,3,290.22,0,0,290.22,0,0,1
704,8,858.3109999999999,0,11.996555555555554,846.3144444444445,0,0.013976933250949312,0.9860230667490508
705,1,116.039,0,0,116.039,0,0,1
801,4,504.596,0,9.962666666666665,494.6333333333333,0,0.019743847883587396,0.9802561521164126
802,14,1383.621,0,56.25711111111111,1327.3638888888888,0,0.04065933598226039,0.9593406640177395
803,1,138.85,0,0,138.85,0,0,1
804,1,98.116,0,0,98.116,0,0,1
805,1,136.389,0,0,136.389,0,0,1
806,1,70.767,0,0,70.767,0,0,1
807,7,491.031,0,6.686222222222222,484.3447777777778,0,0.013616700823822166,0.9863832991761778
808,8,853.738,0,0,853.738,0,0,1
809,3,232.65200000000002,0,4.898888888888889,227.75311111111114,0,0.02105672372852539,0.9789432762714747
810,2,147.446,0,0,147.446,0,0,1
811,6,792.331,0,28.058555555555557,764.2724444444445,0,0.03541266914402637,0.9645873308559737
813,5,510.284,0,0,510.284,0,0,1
902,8,924.927,0,0,924.927,0,0,1
903,7,719.374,0,20.316777777777776,699.0572222222222,0,0.028242302026175226,0.9717576979738247
904,1,108.741,0,0,108.741,0,0,1
906,5,1126.665,0,19.329666666666668,1107.3353333333334,0,0.01715653425522819,0.9828434657447719
907,1,121.587,0,0,121.587,0,0,1
908,1,105.486,0,0,105.486,0,0,1
909,1,102.418,0,11.379777777777777,91.03822222222222,0,0.11111111111111109,0.8888888888888887
910,1,126.746,0,0,126.746,0,0,1
911,3,361.407,0,13.385444444444444,348.02155555555555,0,0.037037037037037035,0.962962962962963
912,2,269.412,0,14.96733333333333,254.44466666666665,0,0.05555555555555555,0.9444444444444444
913,4,371.17600000000004,0,11.305,359.871,0,0.030457249391124423,0.9695427506088754
914,2,209.385,0,11.967444444444443,197.41755555555554,0,0.05715521381400025,0.9428447861859997
915,3,367.50300000000004,0,0,367.50300000000004,0,0,1
917,6,610.987,0,0,610.987,0,0,1
918,9,1001.146,0,0,1001.146,0,0,1
919,2,226.668,0,0,226.668,0,0,1
920,2,231.13,0,0,231.13,0,0,1
921,5,430.65,0,0,430.65,0,0,1
922,1,117.128,0,0,117.128,0,0,1
1001,9,864.479,0,28.78366666666667,835.6953333333333,0,0.03329596978835422,0.9667040302116457
1101,1,124.672,0,0,124.672,0,0,1
1103,1,100,0,0,100,0,0,1
1104,1,105.884,0,0,105.884,0,0,1
1106,3,351.828,0,0,351.828,0,0,1
1109,2,213.558,0,0,213.558,0,0,1
1110,4,517.788,0,0,517.788,0,0,1
1111,1,170.682,0,0,170.682,0,0,1
1112,3,312.168,0,0,312.168,0,0,1
1201,2,206.548,0,0,206.548,0,0,1
1202,3,318.789,0,0,318.789,0,0,1
1204,4,399.993,0,11.971333333333334,388.02166666666665,0,0.02992885708833238,0.9700711429116676
1205,2,216.812,0,0,216.812,0,0,1
1302,2,167.914,0,0,167.914,0,0,1
1303,1,68.656,0,0,68.656,0,0,1
1304,3,282.89099999999996,0,0,282.89099999999996,0,0,1
1411,2,244.25,0,0,244.25,0,0,1
1412,5,509.457,0,8.533444444444445,500.92355555555554,0,0.016750077915200782,0.9832499220847992
1414,2,121.188,0,0,121.188,0,0,1
1415,1,119.193,0,0,119.193,0,0,1
1416,2,234.075,0,14.344555555555555,219.73044444444446,0,0.0612818778406731,0.938718122159327
1417,1,107.896,0,0,107.896,0,0,1
1501,2,228.032,0,0,228.032,0,0,1
1503,1,87.148,0,0,87.148,0,0,1
1504,3,288.96,0,0,288.96,0,0,1
1505,1,137.587,0,15.287444444444443,122.29955555555554,0,0.1111111111111111,0.8888888888888888
1601,3,186.47899999999998,0,0,186.47899999999998,0,0,1
1602,5,640.743,0,8.698777777777778,632.0442222222223,0,0.013576079298217502,0.9864239207017825
1603,5,409.516,0,7.5489999999999995,401.967,0,0.01843395618242022,0.9815660438175797
1604,3,285.176,0,9.113111111111111,276.0628888888889,0,0.031956094170305746,0.9680439058296944
