Variable;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;Test;;;;;;
category_rel;brown;;;green;;;neutral;;;;;;;;;
... 150 to < 300;27;0.2%;;35;0.3%;;4318;1.4%;;;;;;;;
... 300 to < 500;;;;;;;;;;;;;;;;
... 500 to < 700;484;2.8%;;211;1.9%;;11839;3.8%;;;;;;;;
... 700 to < 900;;;;;;;;;;;;;;;;
... 900 to < 1;100;330;1.9%;;261;2.3%;;20054;6.4%;;;;;;;
... 1;100 to < 1;300;735;4.4%;;488;4.4%;;24721;7.9%;;;;;;
... 1;300 to < 1;500;1247;7.4%;;659;6%;;25359;8.2%;;;;;;
... 1;500 to < 1;700;1626;9.7%;;1028;9.1%;;26401;8.5%;;;;;;
... 1;700 to < 2;0;2635;15.5%;;1821;16.3%;;37932;12.1%;;;;;;
... 2;000 to < 2;300;2615;15.4%;;1747;15.5%;;33388;10.6%;;;;;;
... 2;300 to < 2;600;2085;12.2%;;1287;11.2%;;25118;8%;;;;;;
... 2;600 to < 2;900;1259;7.4%;;728;6.5%;;15675;4.9%;;;;;;
... 2;900 to < 3;200;985;5.6%;;629;5.5%;;13532;4.2%;;;;;;
... 3;200 to < 3;600;767;4.4%;;615;5.4%;;11785;3.7%;;;;;;
... 3;600 to < 4;0;467;2.7%;;377;3.2%;;7523;2.3%;;;;;;
... 4;000 to < 4;500;367;2.1%;;368;3.2%;;6496;2%;;;;;;
... 4;500 to < 5;0;241;1.4%;;223;1.9%;;4098;1.3%;;;;;;
... 5;000 to < 5;500;168;0.9%;;129;1.1%;;2782;0.9%;;;;;;
... 5;500 to < 6;0;;;;;;;;;;;;;;
... 6;000 to < 7;500;;;;;;;;;;;;;;
... 7;500 to < 10;0;;;;;;;;;;;;;;
... 10;000 to < 18;0;;;;;;;;;;;;;;
... > 18;0;5;0%;;4;0%;;250;0.1%;;;;;;;
EF442_num;17018;2240.3;1.168.042;11332;2.329.267;1219.67;314558;1.987.861;1.425.898;F=558.933***;;;;;;
EF114UG4;18134;;;12377;;;357064;;;;;;;;;
