EF541,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
2355,175,19.817.687,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2356,97,10.533.367,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2359,385,42.605.446,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2411,2550,278.238.592,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2412,496,54.757.213,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2413,176,20.589.768,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2421,3685,409.110.262,0.003041902,0.00339213,0,0,0.996958098,0.99660787,0,0,0,0,1,1,0.007300565,0.008141113,0,0,0.992699435,0.991858887
2422,921,98464.68,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2423,1051,114650.96,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2424,232,25.379.154,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2431,1945,220.112.944,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2432,458,51.060.255,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2433,1745,192.389.708,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2434,367,40.172.814,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2511,2383,264.512.371,0.038108033,0.037851448,0,0,0.961891967,0.962148552,0,0,0,0,1,1,0.404609443,0.402014268,0,0,0.595390557,0.597985732
2512,2630,302.351.225,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2513,173,19.818.874,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2514,1004,114.361.369,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2519,180,20.711.068,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2521,92,10305.3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2522,1124,124.076.344,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2523,15,1.674.603,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2529,37,4.507.213,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2611,1285,139.000.275,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2612,206,22.513.719,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2619,717,77.467.494,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2621,179,19.417.517,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2622,219,23060.99,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2631,70,7.805.695,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2632,169,18.621.607,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2633,173,19.457.626,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2634,1014,110.696.366,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2635,3235,352.229.182,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2636,456,49751.35,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2641,242,26.430.488,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2642,1185,132.255.972,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2643,453,51.821.212,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2651,375,43.279.131,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2652,630,72.978.193,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2653,52,6.672.499,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2654,394,44.846.555,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2655,134,15.501.367,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2656,22,2.589.008,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2659,138,16.817.502,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3111,992,107.873.886,0,0,0.068001231,0.065524194,0.931998769,0.934475806,0,0,0.068001231,0.065524194,0.931998769,0.934475806,0,0,0.068001231,0.065524194,0.931998769,0.934475806
3112,1426,156.371.054,0.011013487,0.011570827,0.01953107,0.020094995,0.969455443,0.968334178,0,0,0.004345555,0.004207574,0.995654445,0.995792426,0.022026973,0.023141655,0.060462405,0.062412342,0.917510622,0.914446003
3113,1116,122.038.182,0.036108016,0.032023383,9.33E+11,9.60E+11,0.962959006,0.967016556,0.031752169,0.027777778,0,0,0.968247831,0.972222222,0.055082466,0.051075269,0,0,0.944917534,0.948924731
3114,230,25.484.437,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3115,1906,209.958.475,0,0,0.007883446,0.008044771,0.992116554,0.991955229,0,0,0,0,1,1,0,0,0.019428108,0.018887723,0.980571892,0.981112277
3116,262,29.256.191,0,0,0.013704433,0.011450382,0.986295567,0.988549618,0,0,0,0,1,1,0,0,0.027408865,0.022900763,0.972591135,0.977099237
3117,181,19693.58,0,0,0.266694179,0.273252191,0.733305821,0.726747809,0,0,0.162506106,0.171270718,0.837493894,0.828729282,0,0,0.91907901,0.917127072,0.08092099,0.082872928
3118,1913,207.650.791,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3119,3203,352.958.952,0.038437862,0.039281356,0.004552527,0.004901655,0.957009612,0.95581699,0.047764608,0.049016547,0.002872085,0.003122073,0.949363307,0.94786138,0.050822301,0.051826413,0.00699045,0.007492975,0.942187249,0.940680612
3121,21,2.210.351,0,0,0.5,0.5,0.5,0.5,0,0,0,0,1,1,0,0,1,1,0,0
3122,4655,501.975.942,0.011111742,0.011485559,0.054827915,0.053591772,0.934060343,0.934922669,0,0,0.004119978,0.004081633,0.995880022,0.995918367,0.15509152,0.160042965,0.254952404,0.248120301,0.589956076,0.591836735
3123,1966,210.785.876,0.016651878,0.016873811,0.01314399,0.013250096,0.970204132,0.969876092,0,0,0,0,1,1,0.054713315,0.055442523,0.117408346,0.118006104,0.827878339,0.826551373
3131,201,22.006.135,0.5,0.5,0.142857143,0.142857143,0.357142857,0.357142857,1,1,0,0,0,0,1,1,0,0,0,0
3132,255,27.865.164,0.281214874,0.280672269,0.179696282,0.179831933,0.539088845,0.539495798,0.036868364,0.039215686,0,0,0.963131636,0.960784314,0.161417353,0.160784314,0.838582647,0.839215686,0,0
3133,13,1.289.397,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3134,,,,,,,,,,,,,,,,,,,,
3135,,,,,,,,,,,,,,,,,,,,
3141,349,38.094.181,0.133367141,0.133237822,0,0,0.866632859,0.866762178,0.134285076,0.134670487,0,0,0.865714924,0.865329513,0.134285076,0.134670487,0,0,0.865714924,0.865329513
3142,114,12.532.249,0.013433632,0.012061404,0,0,0.986566368,0.987938596,0,0,0,0,1,1,0.107469058,0.096491228,0,0,0.892530942,0.903508772
3143,113,11.668.038,0.406703823,0.408554572,0,0,0.593296177,0.591445428,0.440222941,0.451327434,0,0,0.559777059,0.548672566,1,1,0,0,0,0
3151,35,4.120.295,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3152,127,14.567.598,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3153,159,17.361.176,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3154,41,4.210.899,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3211,233,25.431.136,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3212,762,82.732.759,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3213,748,80.920.444,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3214,776,84.329.943,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3221,12967,1.428.280.148,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3222,16,1.640.233,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3240,239,26.147.599,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3251,2045,223.978.112,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3252,173,18.993.414,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3253,62,6.474.487,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3254,364,39846.83,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3255,628,68.709.359,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3256,4104,447.204.001,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3257,647,72.135.883,0.047245862,0.045595054,0,0,0.952754138,0.954404946,0.026122284,0.024729521,0,0,0.973877716,0.975270479,0.110616598,0.108191654,0,0,0.889383402,0.891808346
3258,673,74.017.765,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3259,83,9.165.389,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3311,427,46.380.918,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3312,642,67.999.093,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3313,3717,403.178.043,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3314,11,1.307.452,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3315,11,12.585.439.999.999.900,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3321,665,71.495.713,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3322,2189,237.700.379,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3323,1015,111169.08,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3324,66,6961.74,0.195097741,0.193181818,0,0,0.804902259,0.806818182,0,0,0,0,1,1,0.780390965,0.772727273,0,0,0.219609035,0.227272727
3331,379,41.412.637,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3332,284,31.860.315,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3333,366,40.672.539,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3334,1679,181.333.526,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3339,96,10.398.759,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3341,4689,522.597.058,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3342,1534,165.933.227,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3343,9698,1.041.152.753,4.17E+11,3.84E+12,0,0,0.999582837,0.999615666,0,0,0,0,1,1,0.004588794,0.004227676,0,0,0.995411206,0.995772324
3344,777,84.819.163,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3351,331,35974.12,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3352,892,95.485.757,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3353,1106,119.044.535,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3354,12,1.372.192,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3355,1234,133.199.054,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3359,52,5.472.052,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3411,444,47.910.526,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3412,8964,983.788.539,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3413,271,28.878.123,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3421,83,9.666.287,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3422,589,65.239.059,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3423,679,73.915.033,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3431,328,36.888.346,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3432,450,50.425.934,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3433,64,7.021.748,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3434,296,31.963.407,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3435,379,42.359.722,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3511,99,10.651.796,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3512,1419,159.870.026,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3513,139,14826.7,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3514,9,942.152,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3521,235,26.582.944,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3522,448,49478.81,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4110,9,908.311,0.666666667,0.666666667,0,0,0.333333333,0.333333333,1,1,0,0,0,0,1,1,0,0,0,0
4120,12793,1.376.926.695,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4131,245,26.631.327,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4132,1936,215.153.411,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4211,3508,375.081.191,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4212,91,9.813.775,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4213,3,340.374,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4214,11,1.166.628,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4221,883,95.900.603,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4222,648,72.137.841,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4224,1146,128.516.375,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4225,14,1.599.605,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4226,109,12.142.508,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4227,44,4.826.025,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4311,2399,261.557.781,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4312,1995,215278.89,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4321,5555,628.610.566,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4322,11538,1.237.904.008,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4323,1768,196.375.539,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4411,75,8.136.813,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4412,1625,185.686.693,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4413,64,7.035.233,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4415,53,5.489.598,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4416,743,81.481.815,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4419,1180,131.407.988,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5111,372,42.195.169,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5112,193,21.127.907,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5113,85,9.374.592,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5120,2509,295.837.836,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5131,4708,548.672.573,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5132,220,27.858.196,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5141,1725,190.982.449,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5142,1366,150.394.601,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5151,1823,197.061.915,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5152,82,8.837.148,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5153,3696,403.184.324,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5163,131,13.769.147,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5164,427,47.030.444,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5165,700,77.902.599,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5169,9,1.294.902,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5211,111,12.323.216,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5221,1402,153.684.791,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5222,159,17.202.145,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5223,22487,2.478.235.687,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5230,1527,168.190.969,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5241,22,2.332.992,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5245,227,24.558.811,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5246,561,67.011.671,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5249,92,10.657.828,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
