EF564,n_obs,EF952_sum,share_green,share_brown,share_neutral,share_green_cat_abs,share_brown_cat_abs,share_neutral_cat_abs,share_green_cat_rel,share_brown_cat_rel,share_neutral_cat_rel
608,2,234.2,0,0.05652291488756049,0.9434770851124396,0,0,1,0,0.5087062339880444,0.4912937660119556
609,2,186.274,0,0.05911303897603649,0.9408869610239635,0,0,1,0,0.5320173507843284,0.46798264921567156
610,1,106.398,0,0,1,0,0,1,0,0,1
701,8,936.208,0,0.024424534338997793,0.9755754656610022,0,0,1,0,0.21982080905098014,0.7801791909490199
702,1,179.157,0,0,1,0,0,1,0,0,1
703,3,290.22,0,0,1,0,0,1,0,0,1
704,8,858.3109999999999,0,0.013976933250949312,0.9860230667490508,0,0,1,0,0.12579239925854382,0.8742076007414562
705,1,116.039,0,0,1,0,0,1,0,0,1
801,4,504.596,0,0.019743847883587396,0.9802561521164126,0,0,1,0,0.17769463095228658,0.8223053690477135
802,14,1383.621,0,0.04065933598226039,0.9593406640177395,0,0,1,0,0.36593402384034357,0.6340659761596564
803,1,138.85,0,0,1,0,0,1,0,0,1
804,1,98.116,0,0,1,0,0,1,0,0,1
805,1,136.389,0,0,1,0,0,1,0,0,1
806,1,70.767,0,0,1,0,0,1,0,0,1
807,7,491.031,0,0.013616700823822166,0.9863832991761778,0,0,1,0,0.1225503074143995,0.8774496925856006
808,8,853.738,0,0,1,0,0,1,0,0,1
809,3,232.65200000000002,0,0.02105672372852539,0.9789432762714747,0,0,1,0,0.18951051355672852,0.8104894864432715
810,2,147.446,0,0,1,0,0,1,0,0,1
811,6,792.331,0,0.03541266914402637,0.9645873308559737,0,0,1,0,0.3187140222962373,0.6812859777037628
813,5,510.284,0,0,1,0,0,1,0,0,1
902,8,924.927,0,0,1,0,0,1,0,0,1
903,7,719.374,0,0.028242302026175226,0.9717576979738247,0,0,1,0,0.25418071823557703,0.7458192817644229
904,1,108.741,0,0,1,0,0,1,0,0,1
906,5,1126.665,0,0.01715653425522819,0.9828434657447719,0,0,1,0,0.15440880829705372,0.8455911917029463
907,1,121.587,0,0,1,0,0,1,0,0,1
908,1,105.486,0,0,1,0,0,1,0,0,1
909,1,102.418,0,0.11111111111111109,0.8888888888888887,0,0,1,0,1,0
910,1,126.746,0,0,1,0,0,1,0,0,1
911,3,361.407,0,0.037037037037037035,0.962962962962963,0,0,1,0,0.3333333333333333,0.6666666666666666
912,2,269.412,0,0.05555555555555555,0.9444444444444444,0,0,1,0,0.5,0.5
913,4,371.17600000000004,0,0.030457249391124423,0.9695427506088754,0,0,1,0,0.2741152445201198,0.7258847554798802
914,2,209.385,0,0.05715521381400025,0.9428447861859997,0,0,1,0,0.5143969243260024,0.4856030756739977
915,3,367.50300000000004,0,0,1,0,0,1,0,0,1
917,6,610.987,0,0,1,0,0,1,0,0,1
918,9,1001.146,0,0,1,0,0,1,0,0,1
919,2,226.668,0,0,1,0,0,1,0,0,1
920,2,231.13,0,0,1,0,0,1,0,0,1
921,5,430.65,0,0,1,0,0,1,0,0,1
922,1,117.128,0,0,1,0,0,1,0,0,1
1001,9,864.479,0,0.03329596978835422,0.9667040302116457,0,0,1,0,0.29966372809518793,0.7003362719048121
1101,1,124.672,0,0,1,0,0,1,0,0,1
1103,1,100,0,0,1,0,0,1,0,0,1
1104,1,105.884,0,0,1,0,0,1,0,0,1
1106,3,351.828,0,0,1,0,0,1,0,0,1
1109,2,213.558,0,0,1,0,0,1,0,0,1
1110,4,517.788,0,0,1,0,0,1,0,0,1
1111,1,170.682,0,0,1,0,0,1,0,0,1
1112,3,312.168,0,0,1,0,0,1,0,0,1
1201,2,206.548,0,0,1,0,0,1,0,0,1
1202,3,318.789,0,0,1,0,0,1,0,0,1
1204,4,399.993,0,0.02992885708833238,0.9700711429116676,0,0,1,0,0.2693597137949914,0.7306402862050085
1205,2,216.812,0,0,1,0,0,1,0,0,1
1302,2,167.914,0,0,1,0,0,1,0,0,1
1303,1,68.656,0,0,1,0,0,1,0,0,1
1304,3,282.89099999999996,0,0,1,0,0,1,0,0,1
1411,2,244.25,0,0,1,0,0,1,0,0,1
1412,5,509.457,0,0.016750077915200782,0.9832499220847992,0,0,1,0,0.15075070123680703,0.8492492987631929
1414,2,121.188,0,0,1,0,0,1,0,0,1
1415,1,119.193,0,0,1,0,0,1,0,0,1
1416,2,234.075,0,0.0612818778406731,0.938718122159327,0,0,1,0,0.5515369005660579,0.44846309943394214
1417,1,107.896,0,0,1,0,0,1,0,0,1
1501,2,228.032,0,0,1,0,0,1,0,0,1
1503,1,87.148,0,0,1,0,0,1,0,0,1
1504,3,288.96,0,0,1,0,0,1,0,0,1
1505,1,137.587,0,0.1111111111111111,0.8888888888888888,0,0,1,0,1,0
1601,3,186.47899999999998,0,0,1,0,0,1,0,0,1
1602,5,640.743,0,0.013576079298217502,0.9864239207017825,0,0,1,0,0.12218471368395753,0.8778152863160423
1603,5,409.516,0,0.01843395618242022,0.9815660438175797,0,0,1,0,0.165905605641782,0.834094394358218
1604,3,285.176,0,0.031956094170305746,0.9680439058296944,0,0,1,0,0.28760484753275173,0.7123951524672483
