,isco_level_1,isco_label_1,share_green_gtp_mean,n_occ_esco_sum,share_green_esco_mean,share_brown_esco_mean,share_neutral_esco_mean,isco_code,isco_level_2,isco_label_2,isco_level_3,isco_label_3,isco_level_4,isco_label_4
66,,,0.4876660341555978,29.0,0.09790248180775261,0.04564580135733196,0.8564517168349155,211,,,211,Physical and earth science professionals,,
67,,,0.0,7.0,0.004464285714285714,0.0,0.9955357142857143,212,,,212,"Mathematicians, actuaries and statisticians",,
68,,,1.0,40.0,0.261282327040936,0.0033262620966213637,0.7353914108624426,213,,,213,Life science professionals,,
69,,,0.42114868443661563,125.0,0.11270078294347965,0.037005269747860725,0.8502939473086597,214,,,214,Engineering professionals (excluding electrotechnology),,
70,,,0.2121212121212121,27.0,0.04983721089070994,0.0046472030373399704,0.9455155860719501,215,,,215,Electrotechnology engineers,,
71,,,0.26977714790929896,44.0,0.037742510567766625,0.011604958557772228,0.9506525308744611,216,,,216,"Architects, planners, surveyors and designers",,
72,,,0.0,2.0,0.0,0.0,1.0,221,,,221,Medical doctors,,
73,,,0.0,4.0,0.0,0.0,1.0,222,,,222,Nursing and midwifery professionals,,
74,,,0.0,5.0,0.002531645569620253,0.0,0.9974683544303797,223,,,223,Traditional and complementary medicine professionals,,
75,,,0.0,11.0,0.12034308486296395,0.0,0.879656915137036,225,,,225,Veterinarians,,
76,,,0.0,38.0,0.032721809422511676,0.005326947551827934,0.9619512430256605,226,,,226,Other health professionals,,
77,,,0.0,45.0,0.0030257601718351717,0.0021892292932099706,0.9947850105349548,231,,,231,University and higher education teachers,,
78,,,0.0,25.0,0.020524702001647174,0.005841787391939368,0.9736335106064135,232,,,232,Vocational education teachers,,
79,,,0.0,19.0,0.007207806134014266,0.005690896538238919,0.9871012973277468,233,,,233,Secondary education teachers,,
80,,,0.0,5.0,0.0,0.0,1.0,234,,,234,Primary school and early childhood teachers,,
81,,,0.0,37.0,0.0005099439061703213,0.00215985215985216,0.9973302039339774,235,,,235,Other teaching professionals,,
82,,,0.21689835354431625,35.0,0.015334250885638176,0.0,0.9846657491143619,241,,,241,Finance professionals,,
83,,,0.0,47.0,0.02797215643734393,0.0,0.972027843562656,242,,,242,Administration professionals,,
84,,,0.2527098527098527,48.0,0.021785166088391903,0.0,0.9782148339116081,243,,,243,"Sales, marketing and public relations professionals",,
85,,,1.0,49.0,0.0058309037900874635,0.0003045994517209869,0.9938644967581914,251,,,251,Software and applications developers and analysts,,
86,,,0.0,20.0,0.0,0.0,1.0,252,,,252,Database and network professionals,,
87,,,0.08112874779541446,18.0,0.008510923600209315,0.0,0.9914890763997906,261,,,261,Legal professionals,,
88,,,0.0,11.0,0.002457002457002457,0.0,0.9975429975429976,262,,,262,"Librarians, archivists and curators",,
89,,,0.0,66.0,0.0023260126201602935,0.0,0.9976739873798397,263,,,263,Social and religious professionals,,
90,,,0.03571428571428571,35.0,0.0,0.0013605442176870747,0.9986394557823128,264,,,264,"Authors, journalists and linguists",,
91,,,0.0,54.0,0.004102589014730921,0.0051440329218107,0.9907533780634584,265,,,265,Creative and performing artists,,
92,,,0.3976620119011423,134.0,0.08698864958165949,0.013538572190392645,0.8994727782279479,311,,,311,Physical and engineering science technicians,,
93,,,0.0,59.0,0.050676878142260545,0.02510309837449653,0.9242200234832428,312,,,312,"Mining, manufacturing and construction supervisors",,
94,,,0.34027777777777785,35.0,0.16116475336226552,0.06410857248226422,0.7747266741554703,313,,,313,Process control technicians,,
95,,,0.11538461538461539,12.0,0.17985038839745138,0.006679894179894179,0.8134697174226545,314,,,314,Life science technicians and related associate professionals,,
96,,,0.0,27.0,0.03386530763579176,0.007106016992413311,0.9590286753717949,315,,,315,Ship and aircraft controllers and technicians,,
97,,,0.0,12.0,0.01617653421389975,0.0,0.9838234657861001,321,,,321,Medical and pharmaceutical technicians,,
98,,,0.0,1.0,0.0,0.0,1.0,322,,,322,Nursing and midwifery associate professionals,,
99,,,0.0,1.0,0.04081632653061224,0.0,0.9591836734693877,323,,,323,Traditional and complementary medicine associate professionals,,
100,,,0.0,6.0,0.057605915083662106,0.0,0.9423940849163378,324,,,324,Veterinary technicians and assistants,,
101,,,0.8365384615384616,35.0,0.07143951575957865,0.0010961137784219583,0.9274643704619994,325,,,325,Other health associate professionals,,
102,,,0.0909090909090909,35.0,0.004903185683906483,0.004968944099378882,0.9901278702167147,331,,,331,Financial and mathematical associate professionals,,
103,,,0.27125028553599984,57.0,0.02297126604069071,0.003714718634959345,0.97331401532435,332,,,332,Sales and purchasing agents and brokers,,
104,,,0.2222222222222222,62.0,0.014576141722019728,0.008483992551434637,0.9769398657265457,333,,,333,Business services agents,,
105,,,0.0,24.0,0.0,0.0,1.0,334,,,334,Administrative and specialised secretaries,,
106,,,0.1875,23.0,0.03772429261559696,0.004879227053140096,0.9573964803312629,335,,,335,Regulatory government associate professionals,,
107,,,0.0,30.0,0.003153551429413498,0.0,0.9968464485705865,341,,,341,"Legal, social and religious associate professionals",,
108,,,0.0,28.0,0.030430857510493712,0.0013227513227513227,0.9682463911667549,342,,,342,Sports and fitness workers,,
109,,,0.0,50.0,0.013794891529284752,0.0,0.9862051084707153,343,,,343,"Artistic, cultural and culinary associate professionals",,
110,,,0.0,8.0,0.0,0.0,1.0,351,,,351,Information and communications technology operations and user support technicians,,
111,,,0.0,14.0,0.010339363017934446,0.0,0.9896606369820656,352,,,352,Telecommunications and broadcasting technicians,,
112,,,0.0,2.0,0.0,0.0,1.0,411,,,411,General office clerks,,
113,,,0.0,1.0,0.0,0.0,1.0,412,,,412,Secretaries (general),,
