Mapping project name,ESCO - DKZ Berufe
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-24
Classification 1 Name,ESCO-Berufe
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.3
Classification 1 Language,de
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Digitales-Klassifizierungs-Zentrum Berufe
Classification 2 Concept type,occupations
Classification 2 Version,August 2019
Classification 2 Language,de
Classification 2 Landing page,https://berufenet.arbeitsagentur.de


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f,Budgetverantwortlicher/Budgetverantwortliche,http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f,7481,Leiter/in - Finanz- und Rechnungswesen,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7481,skos:broadMatch
http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,Leiter der Buchhaltung/Leiterin der Buchhaltung,http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,7481,Leiter/in - Finanz- und Rechnungswesen,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7481,skos:broadMatch
http://data.europa.eu/esco/occupation/3e1a2f3c-20d6-4d33-aa6f-63cd2a32698d,Schatzmeister/Schatzmeisterin,http://data.europa.eu/esco/occupation/3e1a2f3c-20d6-4d33-aa6f-63cd2a32698d,131720,Leiter/in - Treasury,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=131720,skos:exactMatch
http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77,Führungskraft im Personalwesen,http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77,7484,Leiter/in - Personal,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7484,skos:exactMatch
http://data.europa.eu/esco/occupation/949ab84f-5d76-4139-a568-45691b7ebc53,Beauftragter für Gleichstellung und Inklusion/Beauftragte für Gleichstellung und Inklusion,http://data.europa.eu/esco/occupation/949ab84f-5d76-4139-a568-45691b7ebc53,29517,Gleichstellungsbeauftragte/r,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=29517,skos:narrowMatch
http://data.europa.eu/esco/occupation/e246eca2-2cec-45b4-ae76-aa1f37d07bc5,Führungskraft für Tourismus,http://data.europa.eu/esco/occupation/e246eca2-2cec-45b4-ae76-aa1f37d07bc5,14043,Touristikmanager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=14043,skos:broadMatch
http://data.europa.eu/esco/occupation/c94f3565-d987-431f-a46b-6f4e018e0bd7,Programmmanager/Programmmanagerin,http://data.europa.eu/esco/occupation/c94f3565-d987-431f-a46b-6f4e018e0bd7,131712,Leiter/in - Projekt-/Programmmanagement,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=131712,skos:exactMatch
http://data.europa.eu/esco/occupation/94e0bedd-e56e-42be-a5a4-b74a260f437c,Abteilungsleiter/Abteilungsleiterin,http://data.europa.eu/esco/occupation/94e0bedd-e56e-42be-a5a4-b74a260f437c,27386,Bereichsleiter/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=27386,skos:exactMatch
http://data.europa.eu/esco/occupation/b42c5ed4-c6e4-4694-934f-96127719cc43,Führungskraft im Gebäudemanagement,http://data.europa.eu/esco/occupation/b42c5ed4-c6e4-4694-934f-96127719cc43,15628,Facility-Manager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15628,skos:exactMatch
http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9,Sicherheitsbeauftragte/Sicherheitsbeauftragter,http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9,69769,Sicherheitsmanager/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=69769,skos:exactMatch
