"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max","Sum""
"... Specialised construction activities","18255","4.7%","","","","","",""
"... Wholesale and retail trade and repair of motor vehicles and motorcycles","8130","2.1%","","","","","",""
"... Wholesale trade, except of motor vehicles and motorcycles","x"
"... Retail trade, except of motor vehicles and motorcycles","30541","7.9%","","","","","",""
"... Land transport and transport via pipelines","5318","1.4%","","","","","",""
"... Water transport","305","0.1%","","","","","",""
"... Air transport","785","0.2%","","","","","",""
"... Warehousing and support activities for transportation","9702","2.5%","","","","","",""
"... Postal and courier activities","3117","0.8%","","","","","",""
"... Accommodation","4572","1.2%","","","","","",""
"... Food and beverage service activities","9016","2.3%","","","","","",""
"... Publishing activities","4913","1.3%","","","","","",""
"... Motion picture, video and television programme production, sound recording and music publishing activities","771","0.2%","","","","","",""
"... Programming and broadcasting activities","393","0.1%","","","","","",""
"... Telecommunications","555","0.1%","","","","","",""
"... Computer programming, consultancy and related activities","5127","1.3%","","","","","",""
"... Information service activities","716","0.2%","","","","","",""
"... Financial service activities, except insurance and pension funding","6549","1.7%","","","","","",""
"... Insurance, reinsurance and pension funding, except compulsory social security","1582","0.4%","","","","","",""
"... Activities auxiliary to financial services and insurance activities","3631","0.9%","","","","","",""
"... Real estate activities","2011","0.5%","","","","","",""
"... Legal and accounting activities","6356","1.6%","","","","","",""
"... Activities of head offices; management consultancy activities","2839","0.7%","","","","","",""
"... Architectural and engineering activities; technical testing and analysis","6116","1.6%","","","","","",""
"... Scientific research and development","2266","0.6%","","","","","",""
"... Advertising and market research","1481","0.4%","","","","","",""
"... Other professional, scientific and technical activities","3187","0.8%","","","","","",""
"... Veterinary activities","622","0.2%","","","","","",""
"... Rental and leasing activities","629","0.2%","","","","","",""
"... Employment activities","735","0.2%","","","","","",""
"... Travel agency, tour operator and other reservation service and related activities","1500","0.4%","","","","","",""
"... Security and investigation activities","1397","0.4%","","","","","",""
"... Services to buildings and landscape activities","11081","2.9%","","","","","",""
"... Office administrative, office support and other business support activities","3829","1%","","","","","",""
"... Public administration and defence; compulsory social security","27144","7%","","","","","",""
"... Education","26895","6.9%","","","","","",""
"... Human health activities","29172","7.5%","","","","","",""
"... Residential care activities","12038","3.1%","","","","","",""
"... Social work activities without accommodation","10563","2.7%","","","","","",""
"... Creative, arts and entertainment activities","2113","0.5%","","","","","",""
"... Libraries, archives, museums and other cultural activities","617","0.2%","","","","","",""
"... Gambling and betting activities","607","0.2%","","","","","",""
"... Sports activities and amusement and recreation activities","2027","0.5%","","","","","",""
"... Activities of membership organisations","5093","1.3%","","","","","",""
"... Repair of computers and personal and household goods","651","0.2%","","","","","",""
"... Other personal service activities","5170","1.3%","","","","","",""
"... Activities of households as employers of domestic personnel","1969","0.5%","","","","","",""
"... Undifferentiated goods- and services-producing activities of private households for own use","0","0%","","","","","",""
"... Activities of extraterritorial organisations and bodies","173","0%","","","","","",""
