EF541,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
2153,158,17413.907,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2161,1424,157411.48,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2162,140,15586.769,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2163,418,48080.914,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2164,216,23429.331,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2165,143,15190.092,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2166,1133,127885.278,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2211,1898,213488.764,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2212,1853,204242.012,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2221,146,15607.546,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2222,212,23053.321,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2230,331,35156.031,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2240,7,863.845,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2250,326,34665.172,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2261,699,75897.72,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2262,641,71029.175,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2263,101,11237.457,0.106123921,0.108910891,0,0,0.893876079,0.891089109,0.106123921,0.108910891,0,0,0.893876079,0.891089109,0.106123921,0.108910891,0,0,0.893876079,0.891089109
2264,1856,201827.103,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2265,175,19049.717,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2266,296,32391.17,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2267,23,2569.428,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2269,822,88366.575,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2310,2982,339707.52,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2320,2936,318300.219,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2330,4355,467381.545,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2341,2007,214930.522,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2351,629,66901.099,0.061733945,0.061261261,0,0,0.938266055,0.938738739,0,0,0,0,1,1,0.926009168,0.918918919,0,0,0.073990832,0.081081081
2352,957,102824.373,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2353,238,28083.47,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2354,549,61652.186,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2355,175,19817.687,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2356,97,10533.367,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2359,385,42605.446,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2411,2550,278238.592,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2412,496,54757.213,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2413,176,20589.768,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2421,3685,409110.262,0.003041902,0.00339213,0,0,0.996958098,0.99660787,0,0,0,0,1,1,0.007300565,0.008141113,0,0,0.992699435,0.991858887
2422,921,98464.68,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2423,1051,114650.96,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2424,232,25379.154,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2431,1945,220112.944,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2432,458,51060.255,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2433,1745,192389.708,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2434,367,40172.814,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2511,2383,264512.371,0.038108033,0.037851448,0,0,0.961891967,0.962148552,0,0,0,0,1,1,0.404609443,0.402014268,0,0,0.595390557,0.597985732
2512,2630,302351.225,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2513,173,19818.874,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2514,1004,114361.369,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2519,180,20711.068,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2521,92,10305.3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2522,1124,124076.344,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2523,15,1674.603,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2529,37,4507.213,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
