EF137,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel,,
Wholesale of other machinery,1746,194.024.553,89.724.292.637.275,834.192.118.013.169,18.478.538.889.349.500,0.004624378,0.042994152,0.952381469,,
Materials recovery,651,71.889.463,10.105.135.571.678.300,30.743.874.044.366.100,5.870.994.002.388.500,0.140564905,0.04276548,0.816669614,,
Manufacture of sports goods,81,9.239.444,54.037,38.655.675.224.512.300,8.798.850.247.754.870,0.005848512,0.041837664,0.952313824,,
Manufacture of musical instruments,99,11.812.855,0,447.265.543.006.993,11.365.589.456.993.000,0,0.037862612,0.962137388,,
Weaving of textiles,87,9.680.571,29.414.250.000.000.000,3.646.228.295.809.880,9.286.533.920.419.010,0.003038483,0.037665426,0.959296091,,
Manufacture of furniture,1088,120.343.705,22.969.384.415.584.400,4.389.163.318.815.650,1.157.248.478.370.280,0.001908649,0.036471898,0.961619454,,
Electric power generation,2881,312488.21,1.978.012.195.595.230,11.282.102.333.524.500,28.142.598.571.052.300,0.063298778,0.03610409,0.900597132,,
Manufacture of medical and dental instruments and supplies,2469,272.661.669,5.877.592.031.926.400,9.678.434.347.203.340,26.239.547.544.960.400,0.002155636,0.035496131,0.962348233,,
Technical testing and analysis,1253,137.350.162,1.850.125.987.012.980,46.645.580.279.254.800,13.083.547.798.506.100,0.013470141,0.033961067,0.952568793,,
Construction of other civil engineering projects,274,29629.7,6.488.795.235.579.470,9.576.827.975.489.420,2.802.313.767.889.310,0.021899632,0.032321718,0.94577865,,
Sale,342,37.459.875,11.921.751.136.363.600,11.837.686.686.609.600,3.615.688.881.997.530,0.003182539,0.031600978,0.965216484,,
Printing and service activities related to printing,1555,170.239.534,2.914.726.448.051.940,5.295.248.279.340.400,16.465.281.307.585.400,0.001712133,0.031104692,0.967183175,,
Repair of personal and household goods,443,49.801.713,25.440.479.545.454.500,13.248.976.586.025.000,4.822.241.054.594.290,0.005108354,0.026603456,0.96828819,,
Support services to forestry,204,21.751.823,7.227.510.151.515.150,553.490.776.923.077,20.475.581.207.925.400,0.033227147,0.025445719,0.941327134,,
Aquaculture,15,1.635.202,111.353,3.843.904.615.384.610,15.856.276.538.461.500,0.00680974,0.023507216,0.969683045,,
Logging,18,2.039.071,0,45.406.200.000.000.000,19.936.648,0,0.022268082,0.977731918,,
Wholesale of household goods,1931,212576.55,5.234.575.694.805.190,4.727.659.167.294.010,20.732.543.326.322.500,0.002462443,0.022239796,0.975297761,,
Sale of motor vehicles,2765,305.883.026,3.126.469.090.909.090,6.206.958.902.319.410,29.936.342.018.858.900,0.001022113,0.020291936,0.978685951,,
Activities of extraterritorial organisations and bodies,173,20.007.516,8.387.053.327.922.070,39.959.640.396.085.300,19.524.049.062.759.900,0.004191951,0.019972315,0.975835734,,
Research and experimental development on natural sciences and engineering,1956,220.136.105,4.824.259.731.421.350,4.287.283.913.123.390,21.102.456.135.545.500,0.021914895,0.019475605,0.958609499,,
Architectural and engineering activities and related technical consultancy,4858,534062.57,10.458.355.753.354.100,10.035.387.462.019.800,51.356.882.678.462.500,0.019582641,0.018790659,0.9616267,,
Educational support activities,79,8.612.954,4.769.687.878.787.870,13.642.230.339.835.600,8.428.834.817.813.760,0.005537807,0.0158392,0.978622993,,
Manufacture of footwear,127,14.278.156,0,21.259.876.027.625.600,14.065.557.239.723.700,0,0.014889791,0.985110209,,
Other human resources provision,94,10.734.728,1.559.402.303.030.300,1.556.714.491.902.830,10.423.116.320.506.600,0.014526705,0.014501667,0.970971628,,
Construction of residential and non-residential buildings,4772,542.131.505,2.094.851.470.839.970,7.734.500.663.498.710,5.323.021.528.656.610,0.003864102,0.014266835,0.981869063,,
Waste collection,474,52.515.888,10.805.360.876.735.500,7.424.799.595.584.550,4.096.804.716.370.590,0.205754131,0.014138197,0.780107673,,
Fishing,25,2.794.994,0,3.843.904.615.384.610,27.565.549.538.461.500,0,0.013752819,0.986247181,,
Freight rail transport,176,19.237.741,15.032.562.007.575.700,25.031.707.305.657.300,1.883.709.830.686.760,0.007814099,0.013011771,0.97917413,,
Cleaning activities,5825,678.792.048,5.437.126.740.427.190,875.600.629.081.461,6.645.989.149.687.580,0.008010004,0.012899394,0.979090602,,
Manufacture of consumer electronics,193,21.678.725,2.273.002.351.190.470,2.768.416.710.955.710,21.174.583.093.785.300,0.010484945,0.012770201,0.976744854,,
Manufacture of computers and peripheral equipment,382,42214.91,2.733.684.988.636.360,532.313.860.178.418,4.140.922.764.095.790,0.006475639,0.012609617,0.980914744,,
Manufacture of communication equipment,962,105.106.494,47.801.826.590.909.000,13.180.690.475.360.800,10.331.040.668.655.400,0.004547942,0.01254032,0.982911738,,
Wholesale of information and communication equipment,356,39.696.106,15.143.760.357.142.800,4.910.607.290.744.340,3.905.360.766.735.410,0.003814923,0.012370501,0.983814575,,
Processing and preserving of meat and production of meat products,1786,201407.64,28.439.647.213.203.400,24.300.700.266.242.500,1.986.931.735.012.430,0.001412044,0.012065431,0.986522525,,
Sea and coastal passenger water transport,92,10.385.322,0,120.960.776.869.472,10.264.361.223.130.500,0,0.011647282,0.988352718,,
Landscape service activities,2156,241.350.698,13.593.976.560.437.200,2.736.159.431.049.350,2.372.551.409.129.060,0.005632458,0.011336861,0.983030681,,
Temporary employment agency activities,287,31.909.028,1.836.355,3.445.194.340.659.340,31.380.873.065.934.000,0.00575497,0.010796927,0.983448103,,
Non-specialised wholesale trade,75,8.044.586,9.351.154.545.454.540,8.504.115.789.473.680,7.866.033.296.650.710,0.011624159,0.010571229,0.977804613,,
Activities of business,1014,109.642.829,8.260.379.867.077.360,11.517.549.932.685.400,10.766.503.602.002.300,0.007533899,0.010504608,0.981961493,,
Reproduction of recorded media,34,3.797.958,0,39.579.830.769.230.700,37.583.781.692.307.600,0,0.010421345,0.989578655,,
Warehousing and storage,470,52.897.635,4.048.550.779.220.770,5.309.409.627.187.620,5.196.183.895.935.910,0.007653557,0.01003714,0.982309303,,
Retail sale of other household equipment in specialised stores,4688,517.653.531,10.076.034.187.049.000,5.127.271.720.024.850,51.151.865.586.127.000,0.001946482,0.009904833,0.988148685,,
Support activities to agriculture and post-harvest crop activities,668,72.270.181,7.731.334.473.026.970,695.223.801.953.602,708.018.237.507.437,0.010697821,0.009619788,0.979682391,,
Wholesale of food,868,99.285.773,7.074.237,9.040.548.964.183.960,976.742.944.035.816,0.007125127,0.009105584,0.98376929,,
Wholesale of agricultural raw materials and live animals,352,38.921.991,2.355.535.909.090.900,3.520.641.962.962.960,3.833.437.321.279.460,0.006051941,0.00904538,0.984902679,,
Manufacture of wearing apparel except fur apparel,509,56.800.509,21.975.829.967.532.400,47.446.549.928.667.800,56.106.285.201.037.900,0.003868949,0.008353191,0.98777786,,
Renting and leasing of other machinery,272,29.749.796,267.618.262.987.013,24.238.750.934.065.900,2.923.979.022.767.230,0.008995634,0.008147535,0.982856831,,
Manufacture of bakery and farinaceous products,3242,361522.32,45.036.039.935.064.900,28.467.683.661.172.100,35.822.519.123.453.200,0.001245733,0.007874392,0.990879875,,
Specialised design activities,712,78.944.851,9.638.782.499.999.990,6.003.205.928.571.420,7.824.814.258.214.280,0.001220951,0.007604303,0.991174745,,
Renting and leasing of motor vehicles,172,19.559.236,20.755.636.363.636.300,14.774.975.811.965.800,19.390.730.605.516.700,0.001061168,0.007553964,0.991384868,,
Passenger rail transport,831,91.464.382,5.449.297.523.268.390,6.764.618.944.828.070,9.024.299.035.319.030,0.005957836,0.007395905,0.986646259,,
Other professional,1783,197.997.402,8.444.668.120.454.540,14.182.908.421.532.700,1.881.344.430.373.920,0.042650399,0.007163179,0.950186422,,
Business support service activities n.e.c.,2194,241.633.269,15.585.151.641.774.800,17.254.578.285.206.600,23.834.929.600.730.100,0.00644992,0.007140812,0.986409268,,
Residential care activities for the elderly and disabled,6905,758.438.907,7.645.235.871.420.240,4.697.793.196.100.960,752.976.590.216.757,0.001008023,0.00619403,0.992797948,,
Freight transport by road and removal services,1233,137957.62,5.988.662.681.818.180,8.541.098.096.266.300,1.311.148.475.085.550,0.043409437,0.006191103,0.95039946,,
Pension funding,41,4.365.116,0,2.649.025,433.862.575,0,0.006068625,0.993931375,,
Research and experimental development on social sciences and humanities,305,35.152.595,6.032.688.636.363.630,20.905.286.842.105.200,3.488.321.524.521.530,0.001716143,0.005947011,0.992336846,,
Retail trade not in stores,1929,217.400.501,23.782.599.796.176.000,12.164.542.492.372.100,21.594.622.075.280.100,0.001093953,0.005595453,0.993310594,,
