EF137UG1,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
Other professional,3184,354.235.954,8.587.428.945.454.540,20.364.179.350.104.100,34.361.210.711.953.500,0.024242116,0.005748761,0.970009123
Veterinary activities,620,67.148.106,7.457.227.272.727.270,886.455,6.706.466.917.727.270,0.001110564,1,
Rental and leasing activities,629,69748.36,2.969.766.266.233.760,4.570.333.534.188.030,6.899.435.001.995.780,0.00425783,0.006552604,0.989189567
Employment activities,734,81.937.444,3.658.769.386.363.630,521.778.311.827.646,8.104.978.874.953.590,0.00446532,0.006368008,0.989166671
Travel agency,1499,166.785.821,15.754.576.893.939.300,15.013.862.777.777.700,16.647.813.660.328.200,9,,
Security and investigation activities,1395,156.772.688,4.647.364.242.424.240,4.178.020.840.455.840,15.589.014.949.171.100,0.002964397,0.002665018,0.994370585
Services to buildings and landscape activities,11069,1.261.668.323,7.666.109.031.352.700,12.300.594.522.587.300,124.170.161.944.606,0.006076168,0.009749468,0.984174364
Office administrative,3824,425.275.307,16.309.951.198.593.000,2.086.479.423.179.120,42.155.783.245.696.100,0.003835151,0.004906185,0.991258664
Public administration and defence,,,,,,,,
Education,26862,2.933.384.936,4.544.185.223.917.740,36.190.276.739.925.700,29.252.217.231.020.800,0.001549127,0.001233738,0.997217135
Human health activities,29148,3.196.215.805,24.913.687.915.501.100,20.033.485.044.908.700,3.191.721.087.703.950,7,,
Residential care activities,12024,1.321.577.737,1.061.418.839.473.020,4.814.162.211.202.520,13.157.021.559.493.200,8,,
Social work activities without accommodation,10550,1.155.284.113,14.993.944.272.727.200,2.346.549.099.343.480,11.514.381.694.733.800,0.001297858,0.002031145,0.996670998
Creative,2109,240.273.371,8.543.134.496.753.240,10.787.521.075.091.500,2.391.091.875.475.230,3,,
Libraries,617,67.755.438,6.354.804.200.757.570,21.551.483.939.393.900,669.044.427.405.303,0.009379032,0.003180776,0.987440192
Gambling and betting activities,606,68.993.373,70.49,10.600.182.336.182.300,6.881.688.117.663.810,0.001021692,0.001536406,0.997441902
Sports activities and amusement and recreation activities,2020,224.856.004,36.566.427.445.887.400,9.795.650.230.384.620,22.351.077.470.250.200,0.001626215,0.00435641,0.994017374
Activities of membership organisations,5088,551.417.302,363.894.263.241.897,29.787.813.775.236.700,5.447.995.779.900.570,0.006599254,0.005402046,0.987998701
Repair of computers and personal and household goods,651,72.903.302,2.791.526.329.545.450,1.358.293.422.888.220,7.126.585.594.415.720,0.003829081,0.018631439,0.97753948
Other personal service activities,5159,570.559.824,16.572.816.933.441.500,10.856.238.158.027.100,5.678.169.184.908.530,0.002904659,0.001902734,0.995192607
Activities of households as employers of domestic personnel,1967,217.370.432,737.625,0,2.172.966.695,3,,
Activities of extraterritorial organisations and bodies,173,20.007.516,8.387.053.327.922.070,39.959.640.396.085.300,19.524.049.062.759.900,0.004191951,0.019972315,0.975835734
